Transponder,avb,ahb
000783EF84,37.9,31.9
0007B0493E,47.46666667,46.56666667
0007ACD040,47.33333333,38.3
0007ACD92B,45.36666667,39.06666667
00079D5182,37.3,32.46666667
0007ABD4C1,41.33333333,38.8
00079D4DD3,40.26666667,34.4
0007AFE2EB,45.16666667,41.46666667
0007839C52,42.9,41.86666667
0007ACC304,39.66666667,38.63333333
000783A8B7,32.93333333,29
0007AC60AD,43.43333333,40.36666667
00078397BE,44.1,41.23333333
0007ACD237,43.2,40.4
000783BFB7,40.56666667,38.03333333
0007B04908,41.86666667,39.63333333
0007AC3EDE,41.7,39.8
0007AC9993,40.83333333,36.86666667
000783B4F3,39.56666667,34.23333333
0007ACD286,42.66666667,39.73333333
0007B0C85F,39.8,38.1
0007ABAEC7,43.63333333,37.3
000783E0B3,40,37.66666667
0007B046BA,39.43333333,36.93333333
0007AC512E,39.76666667,38.36666667
000783C8E4,41.26666667,38.8
0007B0F2C5,39.3,35.1
0007AC4FB1,40.9,36.46666667
0007AC8F5B,40.43333333,37.83333333
0007ABB698,41.46666667,37.73333333
0007AB9DDE,42.66666667,38.2
0007AC2039,38.3,35.2
0007B01AEF,44.13333333,37.2
0007AC6326,40.16666667,36.93333333
0007839D45,38.2,33.93333333
0007ACE17C,43.46666667,39.1
0007AC2B4F,43.7,40.06666667
0007AFDFC5,38.56666667,36.3
0007ACD2C0,37.46666667,35.2
0007AC92A2,39.83333333,37.66666667
00078395C8,39.5,37.2
000783CF1A,37.3,35.36666667
0007AC6907,37.63333333,35.96666667
0007B0EE2D,41.7,37
0007ACDA5A,40.66666667,37.13333333
